fecha,América Del Centro,América Del Norte,Europa
2024-08-01,218746.00000000012,63784.0,14799.0
2024-09-01,172934.99999999994,43586.0,8089.0
2024-10-01,191014.0000000002,51509.0,12553.0
2024-11-01,216047.00000000006,64302.0,20430.0
2024-12-01,260703.99999999985,88970.0,17170.0
2025-01-01,202884.9999999999,69025.0,18300.0
2025-02-01,168157.00000000006,64586.0,19836.0
2025-03-01,186359.99999999994,77143.0,19676.0
2025-04-01,221821.00000000015,67214.0,15985.0
2025-05-01,180995.9999999998,63786.0,10336.0
2025-06-01,172526.99999999994,78374.0,8047.0
2025-07-01,187646.0000000001,87754.0,14549.0
2025-08-01,219135.00000000012,66183.0,14800.0
2025-09-01,171516.99999999994,44013.0,7267.0
2025-10-01,189066.00000000012,59654.0,11968.0
2025-11-01,211415.99999999985,74378.0,23384.0
2025-12-01,255188.99999999968,99416.0,18356.0
2026-01-01,205965.0000000001,74103.0,19913.0
2026-02-01,144961.99999999997,71082.0,21297.0
2026-03-01,175540.00000000017,92963.0,22521.0
2026-04-01,172944.99999999997,70499.0,16068.0
2026-05-01,163580.99999999977,68002.0,11426.0
2026-06-01,158191.00000000003,75569.0,8402.0
